Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginTest,Chrome 73.0.3683.86,,2019-04-04 10:59:38,2019-04-04 11:00:01,23.040s,PASSED
,,,,,,
Test Cases/OCS_Page_Test/Login_Validate/Login_nagative_Validation,Chrome 73.0.3683.86,,2019-04-04 10:59:38,2019-04-04 10:59:50,12.189s,PASSED
"callTestCase(findTestCase(""SetUpp/SetUp""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-04 10:59:38,2019-04-04 10:59:47,9.005s,PASSED
"callTestCase(findTestCase(""OCS_Page/Login_Page/LoginPage_nagative_Validate""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-04 10:59:47,2019-04-04 10:59:50,2.146s,PASSED
"callTestCase(findTestCase(""TearDown/Broweser _close""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-04 10:59:50,2019-04-04 10:59:50,0.772s,PASSED
,,,,,,
Test Cases/OCS_Page_Test/Login_Validate/Login_positive_validate,Chrome 73.0.3683.86,,2019-04-04 10:59:50,2019-04-04 11:00:01,10.662s,PASSED
"callTestCase(findTestCase(""SetUpp/SetUp""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-04 10:59:51,2019-04-04 11:00:00,9.396s,PASSED
"callTestCase(findTestCase(""OCS_Page/Login_Page/LoginPage_Positive_validate""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-04 11:00:00,2019-04-04 11:00:00,0.482s,PASSED
"callTestCase(findTestCase(""TearDown/Broweser _close""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-04 11:00:00,2019-04-04 11:00:01,0.663s,PASSED
