Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginTest,Firefox 66.0,,2019-04-10 17:48:28,2019-04-10 17:48:53,25.565s,PASSED
,,,,,,
Test Cases/OCS_Page_Test/Login_Validate/Login_nagative_Validation,Firefox 66.0,,2019-04-10 17:48:28,2019-04-10 17:48:41,13.594s,PASSED
"callTestCase(findTestCase(""SetUpp/SetUp""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-10 17:48:28,2019-04-10 17:48:39,10.962s,PASSED
"callTestCase(findTestCase(""OCS_Page/Login_Page/LoginPage_nagative_Validate""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-10 17:48:39,2019-04-10 17:48:41,1.705s,PASSED
"callTestCase(findTestCase(""TearDown/Broweser _close""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-10 17:48:41,2019-04-10 17:48:41,0.715s,PASSED
,,,,,,
Test Cases/OCS_Page_Test/Login_Validate/Login_positive_validate,Firefox 66.0,,2019-04-10 17:48:41,2019-04-10 17:48:53,11.756s,PASSED
"callTestCase(findTestCase(""SetUpp/SetUp""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-10 17:48:41,2019-04-10 17:48:52,10.496s,PASSED
"callTestCase(findTestCase(""OCS_Page/Login_Page/LoginPage_Positive_validate""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-10 17:48:52,2019-04-10 17:48:52,0.536s,PASSED
"callTestCase(findTestCase(""TearDown/Broweser _close""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-10 17:48:52,2019-04-10 17:48:53,0.626s,PASSED
