Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
FMS,Firefox 66.0,,2019-04-11 17:56:08,2019-04-11 17:57:01,53.691s,PASSED
,,,,,,
Test Cases/OCS_Page_Test/FMS_Validate/FMS_CreateCase_validate,Firefox 66.0,,2019-04-11 17:56:08,2019-04-11 17:56:46,37.537s,PASSED
"callTestCase(findTestCase(""OCS_Page/FMS_Page/Create_new_FMS Case""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-11 17:56:09,2019-04-11 17:56:46,36.547s,PASSED
,,,,,,
Test Cases/OCS_Page_Test/FMS_Validate/FMS_login,Firefox 66.0,,2019-04-11 17:56:46,2019-04-11 17:57:01,14.974s,PASSED
"callTestCase(findTestCase(""OCS_Page/FMS_Page/Fms_password_Validate""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-11 17:56:46,2019-04-11 17:57:01,14.866s,PASSED
