Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginTest,Chrome 73.0.3683.86,,2019-04-09 18:21:35,2019-04-09 18:22:02,27.309s,PASSED
,,,,,,
Test Cases/OCS_Page_Test/Login_Validate/Login_nagative_Validation,Chrome 73.0.3683.86,,2019-04-09 18:21:35,2019-04-09 18:21:50,15.050s,PASSED
"callTestCase(findTestCase(""SetUpp/SetUp""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-09 18:21:35,2019-04-09 18:21:47,12.020s,PASSED
"callTestCase(findTestCase(""OCS_Page/Login_Page/LoginPage_nagative_Validate""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-09 18:21:47,2019-04-09 18:21:49,2.056s,PASSED
"callTestCase(findTestCase(""TearDown/Broweser _close""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-09 18:21:49,2019-04-09 18:21:50,0.766s,PASSED
,,,,,,
Test Cases/OCS_Page_Test/Login_Validate/Login_positive_validate,Chrome 73.0.3683.86,,2019-04-09 18:21:50,2019-04-09 18:22:02,12.074s,PASSED
"callTestCase(findTestCase(""SetUpp/SetUp""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-09 18:21:50,2019-04-09 18:22:01,10.913s,PASSED
"callTestCase(findTestCase(""OCS_Page/Login_Page/LoginPage_Positive_validate""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-09 18:22:01,2019-04-09 18:22:01,0.402s,PASSED
"callTestCase(findTestCase(""TearDown/Broweser _close""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-09 18:22:01,2019-04-09 18:22:02,0.662s,PASSED
