Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginTest,Firefox 66.0,,2019-04-10 17:52:54,2019-04-10 17:53:19,25.501s,PASSED
,,,,,,
Test Cases/OCS_Page_Test/Login_Validate/Login_nagative_Validation,Firefox 66.0,,2019-04-10 17:52:54,2019-04-10 17:53:09,14.948s,PASSED
"callTestCase(findTestCase(""SetUpp/SetUp""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-10 17:52:55,2019-04-10 17:53:06,11.186s,PASSED
"callTestCase(findTestCase(""OCS_Page/Login_Page/LoginPage_nagative_Validate""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-10 17:53:06,2019-04-10 17:53:08,2.237s,PASSED
"callTestCase(findTestCase(""TearDown/Broweser _close""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-10 17:53:08,2019-04-10 17:53:09,0.878s,PASSED
,,,,,,
Test Cases/OCS_Page_Test/Login_Validate/Login_positive_validate,Firefox 66.0,,2019-04-10 17:53:09,2019-04-10 17:53:19,10.303s,PASSED
"callTestCase(findTestCase(""SetUpp/SetUp""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-10 17:53:09,2019-04-10 17:53:18,8.928s,PASSED
"callTestCase(findTestCase(""OCS_Page/Login_Page/LoginPage_Positive_validate""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-10 17:53:18,2019-04-10 17:53:19,0.584s,PASSED
"callTestCase(findTestCase(""TearDown/Broweser _close""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-10 17:53:19,2019-04-10 17:53:19,0.636s,PASSED
