Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginTest,Firefox 66.0,,2019-04-02 09:41:26,2019-04-02 09:42:15,49.104s,FAILED
,,,,,,
Test Cases/OCS_Page/Forgetpassword_Page/ForgetPassword_Page,Firefox 66.0,,2019-04-02 09:41:26,2019-04-02 09:41:27,0.439s,FAILED
"click(findTestObject(""Login_Page_OB/Page_Healthcare Manager/a_Forgot Password""))",Firefox 66.0,,2019-04-02 09:41:27,2019-04-02 09:41:27,0.198s,FAILED
,,,,,,
Test Cases/OCS_Page/Forgetpassword_Page/PForgetpaassword_Nagative_Page,Firefox 66.0,,2019-04-02 09:41:27,2019-04-02 09:41:27,0.131s,FAILED
"click(findTestObject(""Login_Page_OB/Page_Healthcare Manager/a_Forgot Password""))",Firefox 66.0,,2019-04-02 09:41:27,2019-04-02 09:41:27,0.005s,FAILED
,,,,,,
Test Cases/OCS_Page/Home_Page/HomePage_Page,Firefox 66.0,,2019-04-02 09:41:27,2019-04-02 09:41:27,0.124s,FAILED
"verifyElementVisible(findTestObject(""Home_Page_OR/Page_Healthcare Manager/div_Search""))",Firefox 66.0,,2019-04-02 09:41:27,2019-04-02 09:41:27,0.015s,FAILED
,,,,,,
Test Cases/OCS_Page/Login_Page/LoginPage_nagative_Validate,Firefox 66.0,,2019-04-02 09:41:27,2019-04-02 09:41:27,0.149s,FAILED
"setText(findTestObject(""Login_Page_OB/Page_Healthcare Manager/input_Login here_username""), ""archana321"")",Firefox 66.0,,2019-04-02 09:41:27,2019-04-02 09:41:27,0.021s,FAILED
,,,,,,
Test Cases/OCS_Page/Login_Page/LoginPage_Positive_validate,Firefox 66.0,,2019-04-02 09:41:27,2019-04-02 09:41:27,0.112s,FAILED
"setText(findTestObject(""Login_Page_OB/Page_Healthcare Manager/input_Login here_username""), ""archana321"")",Firefox 66.0,,2019-04-02 09:41:27,2019-04-02 09:41:27,0.009s,FAILED
,,,,,,
Test Cases/OCS_Page/Participants_page/Participants_DashBoard_page,Firefox 66.0,,2019-04-02 09:41:27,2019-04-02 09:41:27,0.116s,FAILED
"click(findTestObject(""Home_Page_OR/Page_Healthcare Manager/p_Participants""))",Firefox 66.0,,2019-04-02 09:41:27,2019-04-02 09:41:27,0.016s,FAILED
,,,,,,
Test Cases/OCS_Page_Test/Homepage_validate/Homa_Page_validate,Firefox 66.0,,2019-04-02 09:41:27,2019-04-02 09:41:38,10.924s,PASSED
"callTestCase(findTestCase(""SetUpp/SetUp""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-02 09:41:27,2019-04-02 09:41:35,7.550s,PASSED
"callTestCase(findTestCase(""OCS_Page/Login_Page/LoginPage_Positive_validate""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-02 09:41:35,2019-04-02 09:41:36,0.474s,PASSED
"callTestCase(findTestCase(""OCS_Page/Home_Page/HomePage_Page""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-02 09:41:36,2019-04-02 09:41:38,2.046s,PASSED
"callTestCase(findTestCase(""TearDown/Broweser _close""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-02 09:41:38,2019-04-02 09:41:38,0.745s,PASSED
,,,,,,
Test Cases/OCS_Page_Test/Login_Validate/Login_nagative_Validation,Firefox 66.0,,2019-04-02 09:41:38,2019-04-02 09:41:48,9.861s,PASSED
"callTestCase(findTestCase(""SetUpp/SetUp""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-02 09:41:38,2019-04-02 09:41:46,7.102s,PASSED
"callTestCase(findTestCase(""OCS_Page/Login_Page/LoginPage_nagative_Validate""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-02 09:41:46,2019-04-02 09:41:48,2.008s,PASSED
"callTestCase(findTestCase(""TearDown/Broweser _close""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-02 09:41:48,2019-04-02 09:41:48,0.644s,PASSED
,,,,,,
Test Cases/OCS_Page_Test/Login_Validate/Login_positive_validate,Firefox 66.0,,2019-04-02 09:41:48,2019-04-02 09:41:56,7.866s,PASSED
"callTestCase(findTestCase(""SetUpp/SetUp""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-02 09:41:48,2019-04-02 09:41:55,6.721s,PASSED
"callTestCase(findTestCase(""OCS_Page/Login_Page/LoginPage_Positive_validate""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-02 09:41:55,2019-04-02 09:41:55,0.434s,PASSED
"callTestCase(findTestCase(""TearDown/Broweser _close""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-02 09:41:55,2019-04-02 09:41:56,0.630s,PASSED
,,,,,,
Test Cases/OCS_Page_Test/Participants_Test/DashBoard_Validate,Firefox 66.0,,2019-04-02 09:41:56,2019-04-02 09:42:08,11.589s,PASSED
"callTestCase(findTestCase(""SetUpp/SetUp""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-02 09:41:56,2019-04-02 09:42:03,6.805s,PASSED
"callTestCase(findTestCase(""OCS_Page/Login_Page/LoginPage_Positive_validate""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-02 09:42:03,2019-04-02 09:42:03,0.429s,PASSED
"callTestCase(findTestCase(""OCS_Page/Participants_page/Participants_DashBoard_page""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-02 09:42:03,2019-04-02 09:42:07,3.591s,PASSED
"callTestCase(findTestCase(""TearDown/Broweser _close""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-02 09:42:07,2019-04-02 09:42:08,0.630s,PASSED
,,,,,,
Test Cases/SetUpp/SetUp,Firefox 66.0,,2019-04-02 09:42:08,2019-04-02 09:42:15,6.989s,PASSED
"openBrowser("""")",Firefox 66.0,,2019-04-02 09:42:08,2019-04-02 09:42:10,2.270s,PASSED
"navigateToUrl(""https://ydtwebstaging.com"")",Firefox 66.0,,2019-04-02 09:42:10,2019-04-02 09:42:14,4.432s,PASSED
maximizeWindow(),Firefox 66.0,,2019-04-02 09:42:14,2019-04-02 09:42:15,0.266s,PASSED
deleteAllCookies(),Firefox 66.0,,2019-04-02 09:42:15,2019-04-02 09:42:15,0.006s,PASSED
getWindowTitle(),Firefox 66.0,,2019-04-02 09:42:15,2019-04-02 09:42:15,0.006s,PASSED
waitForPageLoad(30),Firefox 66.0,,2019-04-02 09:42:15,2019-04-02 09:42:15,0.007s,PASSED
,,,,,,
Test Cases/TearDown/Broweser _close,Firefox 66.0,,2019-04-02 09:42:15,2019-04-02 09:42:15,0.595s,PASSED
closeBrowser(),Firefox 66.0,,2019-04-02 09:42:15,2019-04-02 09:42:15,0.592s,PASSED
