Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
FMS,Firefox 66.0,,2019-04-11 18:00:34,2019-04-11 18:01:30,56.143s,INCOMPLETE
,,,,,,
Test Cases/OCS_Page_Test/FMS_Validate/FMS_CreateCase_validate,Firefox 66.0,,2019-04-11 18:00:35,2019-04-11 18:01:25,50.411s,FAILED
"callTestCase(findTestCase(""OCS_Page/FMS_Page/Create_new_FMS Case""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-11 18:00:36,2019-04-11 18:01:25,49.403s,FAILED
,,,,,,
Test Cases/OCS_Page_Test/FMS_Validate/FMS_login,Firefox 66.0,,2019-04-11 18:01:25,2019-04-11 18:01:30,4.632s,FAILED
"callTestCase(findTestCase(""OCS_Page/FMS_Page/Fms_password_Validate""), [:], STOP_ON_FAILURE)",Firefox 66.0,,2019-04-11 18:01:25,2019-04-11 18:01:30,4.531s,FAILED
